counter;priority;category;thread;message
32;INFO;com.eibus.management.AlertSystem;cn=CoBOC,cn=CoBOC,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=CoBOC,cn=CoBOC,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
31;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Logging,cn=Logging,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
30;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Logging,cn=Logging,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Logging,cn=Logging,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
29;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Business Process Management,cn=Business Process Management,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
28;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Business Process Management,cn=Business Process Management,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Business Process Management,cn=Business Process Management,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
27;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Data Transformation,cn=Data Transformation,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
26;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Data Transformation,cn=Data Transformation,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Data Transformation,cn=Data Transformation,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
25;INFO;com.eibus.management.AlertSystem;ThreadPool_MonitorBootStrap/Worker-5;[Alert ID=Cordys.ESBServer.Messages.processLaunch] Launching process cn=CoBOC,cn=CoBOC,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com.
24;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=CAP@appworks,cn=CAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
23;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=CAP@appworks,cn=CAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=CAP@appworks,cn=CAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
22;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Notification,cn=Notification,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
21;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Notification,cn=Notification,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Notification,cn=Notification,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
20;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Collaborative Workspace,cn=Collaborative Workspace,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
19;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Collaborative Workspace,cn=Collaborative Workspace,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Collaborative Workspace,cn=Collaborative Workspace,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
18;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Single Sign-On,cn=Single Sign-On,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
17;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Single Sign-On,cn=Single Sign-On,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Single Sign-On,cn=Single Sign-On,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
16;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Security Administration,cn=Security Administration,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
15;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Security Administration,cn=Security Administration,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Security Administration,cn=Security Administration,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
14;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=XForms,cn=XForms,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
13;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=XForms,cn=XForms,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=XForms,cn=XForms,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
12;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Event Handling,cn=Event Handling,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
11;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Event Handling,cn=Event Handling,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Event Handling,cn=Event Handling,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
10;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Platform,cn=Platform,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
9;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Platform,cn=Platform,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Platform,cn=Platform,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
7;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Repository,cn=Repository,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
6;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Repository,cn=Repository,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Repository,cn=Repository,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
5;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=LDAP,cn=LDAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
4;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=LDAP,cn=LDAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=LDAP,cn=LDAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
3;INFO;com.eibus.management.AlertSystem;ApplicationServerCommunicator;[Alert ID=Cordys.ESBServer.Messages.processLaunch] Launching process cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com.
2;INFO;com.eibus.management.AlertSystem;Launcher: Main loop of 'Cordys Monitor';[Alert ID=Cordys.ESBServer.Messages.monitorStarted] Monitor has been started. cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com.
1;INFO;com.eibus.management.AlertSystem;Launcher: Main loop of 'Cordys Monitor';[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
15;INFO;com.eibus.management.AlertSystem;Thread-137;[Alert ID=Cordys.ESBServer.Messages.runningStateChangePassivate] Service container 'cn=LDAP,cn=LDAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being paused...
14;ERROR;com.eibus.applicationconnector.monitor.OSProcessWatcher;OSProcessWatcher-cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;Unexpected exception.
13;ERROR;com.eibus.applicationconnector.monitor.OSProcessWatcher;OSProcessWatcher-cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;The service container 'cn=Business Process Management,cn=Business Process Management,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' has stopped unexpectedly. Attempting restart... (remaining attempts 2).
12;INFO;com.eibus.management.AlertSystem;Thread-140;[Alert ID=Cordys.ESBServer.Messages.runningStateChangePassivate] Service container 'cn=XForms,cn=XForms,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being paused...
11;INFO;com.eibus.management.AlertSystem;Thread-135;[Alert ID=Cordys.ESBServer.Messages.runningStateChangePassivate] Service container 'cn=Data Transformation,cn=Data Transformation,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being paused...
10;INFO;com.eibus.management.AlertSystem;Thread-139;[Alert ID=Cordys.ESBServer.Messages.runningStateChangePassivate] Service container 'cn=Collaborative Workspace,cn=Collaborative Workspace,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being paused...
9;INFO;com.eibus.management.AlertSystem;Thread-141;[Alert ID=Cordys.ESBServer.Messages.runningStateChangePassivate] Service container 'cn=Notification,cn=Notification,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being paused...
8;INFO;com.eibus.management.AlertSystem;Thread-136;[Alert ID=Cordys.ESBServer.Messages.runningStateChangePassivate] Service container 'cn=Business Process Management,cn=Business Process Management,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being paused...
7;INFO;com.eibus.management.AlertSystem;Thread-138;[Alert ID=Cordys.ESBServer.Messages.runningStateChangePassivate] Service container 'cn=Event Handling,cn=Event Handling,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being paused...
6;INFO;com.eibus.management.AlertSystem;Thread-132;[Alert ID=Cordys.ESBServer.Messages.runningStateChangePassivate] Service container 'cn=Logging,cn=Logging,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being paused...
5;INFO;com.eibus.management.AlertSystem;Thread-130;[Alert ID=Cordys.ESBServer.Messages.runningStateChangePassivate] Service container 'cn=CAP@appworks,cn=CAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being paused...
4;INFO;com.eibus.management.AlertSystem;Thread-133;[Alert ID=Cordys.ESBServer.Messages.runningStateChangePassivate] Service container 'cn=Single Sign-On,cn=Single Sign-On,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being paused...
3;INFO;com.eibus.management.AlertSystem;Thread-134;[Alert ID=Cordys.ESBServer.Messages.runningStateChangePassivate] Service container 'cn=Repository,cn=Repository,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being paused...
2;INFO;com.eibus.management.AlertSystem;Thread-142;[Alert ID=Cordys.ESBServer.Messages.runningStateChangePassivate] Service container 'cn=Security Administration,cn=Security Administration,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being paused...
1;INFO;com.eibus.management.AlertSystem;Thread-131;[Alert ID=Cordys.ESBServer.Messages.runningStateChangePassivate] Service container 'cn=Platform,cn=Platform,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being paused...
